time;V(Net-_Q1-G_);
0;6.36751;
1e-07;6.36752;
2e-07;6.36752;
4e-07;6.36754;
8e-07;6.36757;
1.6e-06;6.3676;
3.2e-06;6.36766;
6.4e-06;6.36785;
1.16994e-05;6.36917;
1.45288e-05;6.37099;
1.73187e-05;6.37467;
1.95268e-05;6.37987;
2.1559e-05;6.38752;
2.36131e-05;6.39925;
2.5793e-05;6.4176;
2.79616e-05;6.44404;
2.97051e-05;6.4748;
2.99094e-05;6.4793;
3.03179e-05;6.48885;
3.1135e-05;6.51308;
3.18187e-05;6.54393;
3.21321e-05;6.5643;
3.24414e-05;6.59281;
3.26455e-05;6.61929;
3.28988e-05;6.66956;
3.31332e-05;6.7466;
3.33406e-05;6.863;
3.35643e-05;7.07389;
3.36312e-05;7.15312;
3.36746e-05;7.20066;
3.37013e-05;7.22328;
3.37265e-05;7.23442;
3.37523e-05;7.22845;
3.37787e-05;7.19678;
3.38073e-05;7.13301;
3.38216e-05;7.09086;
3.38327e-05;7.05161;
3.38414e-05;7.01571;
3.38494e-05;6.97845;
3.38625e-05;6.90763;
3.38679e-05;6.87455;
3.38734e-05;6.83844;
3.38792e-05;6.79848;
3.38859e-05;6.74906;
3.38931e-05;6.69287;
3.38969e-05;6.66168;
3.38992e-05;6.6404;
3.39008e-05;6.62052;
3.39028e-05;6.58419;
3.39047e-05;6.54493;
3.39063e-05;6.50735;
3.39078e-05;6.46797;
3.39101e-05;6.40739;
3.39134e-05;6.31231;
3.39174e-05;6.19314;
3.39213e-05;6.07392;
3.39259e-05;5.93146;
3.39337e-05;5.68926;
3.39467e-05;5.28184;
3.39599e-05;4.86648;
3.39763e-05;4.34093;
3.39941e-05;3.7749;
3.40036e-05;3.47242;
3.40089e-05;3.30801;
3.40122e-05;3.20332;
3.40148e-05;3.12474;
3.40168e-05;3.06144;
3.40184e-05;3.01007;
3.40197e-05;2.96803;
3.40208e-05;2.93293;
3.40219e-05;2.89475;
3.4023e-05;2.85255;
3.40242e-05;2.80907;
3.40255e-05;2.75854;
3.40277e-05;2.67878;
3.40298e-05;2.59931;
3.40331e-05;2.48369;
3.40351e-05;2.4145;
3.40374e-05;2.34546;
3.40385e-05;2.31089;
3.40401e-05;2.26828;
3.40415e-05;2.23206;
3.4043e-05;2.19569;
3.40452e-05;2.14497;
3.40476e-05;2.09674;
3.40514e-05;2.03142;
3.40547e-05;1.98142;
3.40581e-05;1.93903;
3.40617e-05;1.90107;
3.40651e-05;1.87004;
3.4069e-05;1.84022;
3.40766e-05;1.79341;
3.40847e-05;1.75679;
3.40929e-05;1.73023;
3.4102e-05;1.7103;
3.41138e-05;1.69419;
3.41327e-05;1.6783;
3.41514e-05;1.66726;
3.4173e-05;1.65736;
3.4199e-05;1.64821;
3.42354e-05;1.6386;
3.42859e-05;1.62811;
3.43589e-05;1.61287;
3.43869e-05;1.60597;
3.44027e-05;1.60156;
3.44088e-05;1.59921;
3.44115e-05;1.59832;
3.44131e-05;1.59809;
3.44141e-05;1.59803;
3.44151e-05;1.59802;
3.44164e-05;1.59805;
3.44175e-05;1.59809;
3.44186e-05;1.59813;
3.44197e-05;1.59817;
3.44207e-05;1.59819;
3.44217e-05;1.59819;
3.44228e-05;1.59818;
3.44238e-05;1.59816;
3.44248e-05;1.59811;
3.44258e-05;1.59805;
3.44267e-05;1.59797;
3.44277e-05;1.59788;
3.44287e-05;1.59776;
3.44297e-05;1.59763;
3.44307e-05;1.59748;
3.44318e-05;1.59728;
3.4433e-05;1.59703;
3.44345e-05;1.5967;
3.44363e-05;1.59625;
3.44384e-05;1.59562;
3.4441e-05;1.5947;
3.44445e-05;1.59325;
3.44493e-05;1.59077;
3.44568e-05;1.58584;
3.44704e-05;1.57363;
3.44975e-05;1.53661;
3.45519e-05;1.41503;
3.46001e-05;1.26133;
3.46446e-05;1.08851;
3.46965e-05;0.856388;
3.47508e-05;0.588201;
3.47877e-05;0.396071;
3.48118e-05;0.268548;
3.48274e-05;0.191967;
3.48396e-05;0.147206;
3.48527e-05;0.113384;
3.48697e-05;0.0840703;
3.48873e-05;0.0641989;
3.49052e-05;0.0504777;
3.4923e-05;0.0406956;
3.49443e-05;0.0322526;
3.4968e-05;0.0252838;
3.49963e-05;0.0191899;
3.50279e-05;0.0140229;
3.50655e-05;0.00936463;
3.51084e-05;0.00528245;
3.51585e-05;0.00169248;
3.52131e-05;-0.00124262;
3.52623e-05;-0.0032621;
3.53157e-05;-0.00504026;
3.53649e-05;-0.00637439;
3.54294e-05;-0.00778677;
3.55268e-05;-0.00934849;
3.56399e-05;-0.0105762;
3.57736e-05;-0.0115152;
3.5932e-05;-0.0121927;
3.60319e-05;-0.0124649;
3.61169e-05;-0.0126321;
3.6213e-05;-0.0127836;
3.63338e-05;-0.012929;
3.64746e-05;-0.0131278;
3.65267e-05;-0.0145917;
3.65584e-05;-0.0181801;
3.65849e-05;-0.023553;
3.66001e-05;-0.027611;
3.66097e-05;-0.0302292;
3.66184e-05;-0.0317015;
3.6623e-05;-0.0319773;
3.66288e-05;-0.0319541;
3.66347e-05;-0.0314355;
3.66386e-05;-0.0306942;
3.66403e-05;-0.0300113;
3.66411e-05;-0.0293745;
3.66418e-05;-0.0285498;
3.66427e-05;-0.0272025;
3.66432e-05;-0.0263854;
3.66437e-05;-0.0259056;
3.66442e-05;-0.0253735;
