time;V(Net-_Q1-G_);
0;6.36778;
1e-07;6.36874;
1.19385e-07;6.36897;
1.58154e-07;6.36958;
2.11566e-07;6.37136;
2.38443e-07;6.37302;
2.7719e-07;6.37757;
3.03489e-07;6.38312;
3.24421e-07;6.39001;
3.43468e-07;6.39923;
3.61784e-07;6.41205;
3.80047e-07;6.4305;
3.98198e-07;6.45702;
4.16368e-07;6.49546;
4.34564e-07;6.55102;
4.54779e-07;6.64062;
4.74952e-07;6.76627;
4.958e-07;6.93271;
5.21635e-07;7.16606;
5.43804e-07;7.36734;
5.62697e-07;7.52894;
5.81468e-07;7.67703;
5.97537e-07;7.79417;
6.06848e-07;7.86024;
6.12097e-07;7.89814;
6.17091e-07;7.93486;
6.19987e-07;7.95644;
6.23508e-07;7.98285;
6.27622e-07;8.01385;
6.33063e-07;8.05497;
6.38838e-07;8.09861;
6.47657e-07;8.16488;
6.60669e-07;8.26126;
6.75079e-07;8.36542;
7.039e-07;8.56364;
7.35429e-07;8.76382;
7.98486e-07;9.11216;
8.75417e-07;9.45309;
9.74396e-07;9.78363;
1.10155e-06;10.0792;
1.18064e-06;10.2097;
1.27395e-06;10.328;
1.37012e-06;10.4198;
1.48734e-06;10.5019;
1.62243e-06;10.568;
1.76637e-06;10.6155;
1.91781e-06;10.6487;
2.05838e-06;10.6691;
2.18783e-06;10.6819;
2.32789e-06;10.6912;
2.45356e-06;10.6969;
2.56783e-06;10.7003;
2.68942e-06;10.7029;
2.78384e-06;10.7042;
2.87597e-06;10.7051;
2.96489e-06;10.7058;
3.0562e-06;10.7062;
3.14277e-06;10.7065;
3.22815e-06;10.7067;
3.31058e-06;10.7068;
3.39119e-06;10.7069;
3.46762e-06;10.7069;
3.53815e-06;10.7069;
3.60997e-06;10.7069;
3.68296e-06;10.7069;
3.74885e-06;10.7069;
3.81311e-06;10.7069;
3.87872e-06;10.7069;
3.94559e-06;10.7068;
4.00939e-06;10.7068;
4.08037e-06;10.7068;
4.14522e-06;10.7068;
4.21956e-06;10.7068;
4.28718e-06;10.7068;
4.36782e-06;10.7068;
4.44533e-06;10.7068;
4.54425e-06;10.7068;
4.64087e-06;10.7067;
4.77595e-06;10.7067;
4.9035e-06;10.7067;
5.07758e-06;10.7067;
5.25661e-06;10.7067;
5.50055e-06;10.7067;
5.75242e-06;10.7067;
6.12107e-06;10.7067;
6.49103e-06;10.7067;
6.77165e-06;10.7067;
7.01588e-06;10.7067;
7.33127e-06;10.7067;
7.48926e-06;10.7067;
7.64068e-06;10.7067;
7.82748e-06;10.7067;
8.07567e-06;10.7067;
8.33675e-06;10.7067;
8.60915e-06;10.7067;
8.88364e-06;10.7067;
9.11151e-06;10.7067;
9.3518e-06;10.7067;
9.58806e-06;10.7067;
9.9164e-06;10.7067;
1.03389e-05;10.7067;
1.08531e-05;10.7067;
1.1506e-05;10.7067;
1.22774e-05;10.7067;
1.33007e-05;10.7067;
1.45453e-05;10.7067;
1.60041e-05;10.7067;
1.77161e-05;10.7067;
1.98916e-05;10.7067;
2.26421e-05;10.7067;
2.63962e-05;10.7067;
3.16297e-05;10.7067;
3.68953e-05;10.7067;
4.00093e-05;10.7067;
4.29292e-05;10.7067;
4.61369e-05;10.7067;
4.98434e-05;10.7067;
5.425e-05;10.7067;
5.95421e-05;10.7067;
6.57897e-05;10.7067;
7.2905e-05;10.7067;
7.88761e-05;10.7067;
8.44751e-05;10.7067;
9.0551e-05;10.7067;
9.67753e-05;10.7067;
0.000103956;10.7067;
0.000113956;10.7067;
0.000123956;10.7067;
0.000133956;10.7067;
0.000143956;10.7067;
0.000153956;10.7067;
0.000163956;10.7067;
0.000173956;10.7067;
0.000183956;10.7067;
0.000187776;10.7067;
0.00019016;10.7067;
0.000191798;10.7067;
0.000193332;10.7067;
0.000194637;10.7067;
0.000195876;10.7067;
0.000196898;10.7067;
0.000197908;10.7067;
0.000198978;10.7067;
0.000199847;10.7067;
0.000200487;10.7067;
0.00020092;10.7067;
0.00020123;10.7067;
0.000201489;10.7067;
0.000201751;10.7067;
0.000202036;10.7067;
0.000202377;10.7067;
0.000202748;10.7067;
0.000202906;10.7067;
0.000202996;10.7067;
0.000203093;10.7067;
0.000203156;10.7067;
0.000203231;10.7067;
0.000203321;10.7067;
0.000203434;10.7067;
0.000203476;10.7067;
0.000203496;10.7067;
0.000203511;10.7067;
0.000203528;10.7067;
0.000203545;10.7067;
0.000203567;10.7066;
0.000203581;10.7065;
0.000203593;10.7064;
0.000203604;10.7063;
0.000203614;10.7061;
0.000203623;10.7059;
0.000203632;10.7055;
0.000203637;10.7053;
0.000203642;10.7049;
0.000203647;10.7046;
0.000203652;10.7042;
0.000203659;10.7036;
0.000203669;10.7027;
0.00020368;10.7017;
0.000203685;10.7013;
0.000203689;10.7012;
0.000203691;10.7012;
0.000203693;10.7012;
0.000203694;10.7012;
0.000203695;10.7012;
0.000203696;10.7012;
0.000203698;10.7012;
0.000203701;10.7013;
0.000203704;10.7014;
0.000203707;10.7017;
0.000203711;10.7021;
0.000203719;10.7033;
0.000203727;10.7052;
0.000203738;10.7093;
0.000203748;10.7141;
0.000203751;10.7162;
0.000203753;10.7173;
0.000203755;10.718;
0.000203756;10.7187;
0.000203758;10.7191;
0.00020376;10.7192;
0.000203761;10.7189;
0.000203764;10.7178;
0.000203768;10.7141;
0.000203773;10.7095;
0.000203779;10.7047;
0.000203786;10.6999;
0.000203793;10.6859;
0.000203801;10.6477;
0.000203807;10.6025;
0.000203813;10.5584;
0.000203818;10.5066;
0.000203824;10.4559;
0.000203828;10.408;
0.000203832;10.3719;
0.000203835;10.3367;
0.000203837;10.3185;
0.000203838;10.303;
0.000203839;10.2855;
0.00020384;10.2577;
0.000203841;10.2286;
0.000203842;10.1991;
0.000203843;10.1564;
0.000203846;10.0823;
0.000203848;9.9939;
0.000203851;9.86912;
0.000203855;9.73088;
0.000203859;9.56825;
0.000203865;9.33814;
0.000203877;8.88037;
0.000203888;8.46174;
0.0002039;7.98231;
0.000203914;7.45017;
0.000203927;6.94051;
0.00020395;6.07122;
0.000203977;5.09439;
0.000204002;4.23131;
0.000204015;3.77602;
0.000204023;3.5132;
0.000204028;3.34692;
0.000204031;3.22275;
0.000204034;3.12652;
0.000204037;3.05117;
0.000204039;2.992;
0.00020404;2.94505;
0.000204041;2.90665;
0.000204042;2.87155;
0.000204043;2.82381;
0.000204045;2.76973;
0.000204046;2.71287;
0.000204048;2.6526;
0.000204049;2.59855;
0.000204051;2.53376;
0.000204052;2.49519;
0.000204053;2.4576;
0.000204055;2.41644;
0.000204056;2.36789;
0.000204058;2.31295;
0.000204061;2.26113;
0.000204063;2.19978;
0.000204067;2.1209;
0.000204072;2.03979;
0.000204079;1.95751;
0.000204085;1.89529;
0.000204094;1.82954;
0.000204104;1.77905;
0.00020412;1.72705;
0.000204135;1.70336;
0.000204153;1.68692;
0.000204174;1.67328;
0.000204196;1.66152;
0.000204222;1.65073;
0.000204257;1.63969;
0.000204306;1.62733;
0.000204378;1.61;
0.000204407;1.60187;
0.000204424;1.59685;
0.00020443;1.59428;
0.000204432;1.59334;
0.000204434;1.59309;
0.000204435;1.59302;
0.000204436;1.59297;
0.000204437;1.59297;
0.000204438;1.59298;
0.00020444;1.59299;
0.000204441;1.593;
0.000204442;1.59299;
0.000204443;1.59297;
0.000204444;1.59293;
0.000204445;1.59288;
0.000204446;1.5928;
0.000204447;1.59271;
0.000204448;1.59261;
0.000204449;1.59248;
0.00020445;1.59234;
0.000204451;1.59218;
0.000204452;1.592;
0.000204453;1.59177;
0.000204454;1.59148;
0.000204455;1.59109;
0.000204457;1.59059;
0.000204459;1.58988;
0.000204462;1.58886;
0.000204466;1.58723;
0.000204471;1.58448;
0.000204478;1.57895;
0.000204493;1.56505;
0.000204522;1.52297;
0.000204579;1.3857;
0.000204627;1.22697;
0.000204671;1.04949;
0.000204722;0.819811;
0.000204781;0.520247;
0.000204814;0.349332;
0.000204836;0.234591;
0.00020485;0.171458;
0.000204865;0.126284;
0.000204879;0.0961464;
0.000204895;0.0741452;
0.000204912;0.0586113;
0.00020493;0.04645;
0.000204949;0.0370973;
0.000204972;0.0292307;
0.000204997;0.0226692;
0.000205027;0.0170276;
0.000205061;0.0120236;
0.000205101;0.00766704;
0.000205148;0.00368116;
0.000205199;0.00044507;
0.000205257;-0.00235228;
0.000205311;-0.00428718;
0.000205361;-0.00577895;
0.000205414;-0.0070726;
0.000205508;-0.00880304;
0.000205604;-0.0100349;
0.000205743;-0.0112217;
0.000205876;-0.0119066;
0.000206018;-0.0123867;
0.000206155;-0.0126653;
0.000206365;-0.0129357;
0.000206561;-0.0130579;
0.000206801;-0.0131505;
0.000206882;-0.0131603;
0.000206923;-0.0131742;
0.00020696;-0.0131744;
0.000206976;-0.0131817;
0.000206986;-0.0131795;
0.000206994;-0.0131828;
0.000207003;-0.0131831;
0.000207012;-0.0131844;
0.000207022;-0.0131863;
0.000207031;-0.0131861;
0.00020704;-0.0131889;
0.000207049;-0.0131881;
0.000207059;-0.0131914;
0.00020707;-0.0131903;
0.000207083;-0.0131941;
0.000207097;-0.0131931;
0.000207115;-0.0131975;
0.000207138;-0.0131971;
0.000207167;-0.0132023;
0.000207206;-0.0132028;
0.000207258;-0.0132093;
0.000207328;-0.0132109;
0.000207431;-0.0132188;
0.000207553;-0.0132208;
0.000207725;-0.0132282;
0.000207947;-0.0132293;
0.000208264;-0.0132349;
0.000208695;-0.0132339;
0.000209351;-0.0132373;
0.000210222;-0.0132348;
0.000211695;-0.0132374;
0.000213235;-0.0132349;
0.000214815;-0.0132378;
0.000216544;-0.0132352;
0.000218188;-0.0132383;
0.000219878;-0.013236;
0.000221516;-0.0132392;
0.000223209;-0.0132371;
0.000224873;-0.0132407;
0.000226583;-0.0132392;
0.000228282;-0.0132433;
0.00023003;-0.0132423;
0.000231793;-0.013247;
0.000233625;-0.0132466;
0.000235507;-0.0132516;
0.000237509;-0.0132513;
0.000239629;-0.0132564;
0.000241925;-0.0132559;
0.000244438;-0.0132606;
0.000247247;-0.0132598;
0.000250408;-0.0132641;
0.000254033;-0.0132629;
0.000258212;-0.0132669;
0.000263116;-0.0132653;
0.000268895;-0.0132689;
0.000275825;-0.0132671;
0.000284168;-0.0132704;
0.000294168;-0.0132683;
0.000304168;-0.0132714;
0.000314168;-0.013269;
0.000324168;-0.0132719;
0.000334168;-0.0132694;
0.000344168;-0.0132722;
0.000354168;-0.0132696;
